subject_area,date,aggregationType
Plant Science,2023,Journal
Forestry,2018,Journal
Agronomy and Crop Science,2018,Journal
Insect Science,2018,Journal
"Renewable Energy, Sustainability and the Environment",2021,Journal
Materials Science (all),2021,Journal
Catalysis,2019,Journal
Molecular Biology,2019,Journal
Spectroscopy,2019,Journal
Computer Science Applications,2019,Journal
Physical and Theoretical Chemistry,2019,Journal
Organic Chemistry,2019,Journal
Inorganic Chemistry,2019,Journal
Social Sciences (all),2021,Journal
"Ecology, Evolution, Behavior and Systematics",2021,Journal
Animal Science and Zoology,2021,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
Infectious Diseases,2022,Journal
Medicine (all),2023,Journal
Veterinary (all),2018,Journal
Biochemistry,2020,Journal
Molecular Medicine,2021,Journal
Pharmaceutical Science,2021,Journal
Drug Discovery,2021,Journal
Otorhinolaryngology,2019,Journal
Geochemistry and Petrology,2018,Journal
Medicine (all),2021,Book
Pharmacology,2019,Journal
Pharmacology (medical),2019,Journal
Molecular Biology,2023,Journal
Cellular and Molecular Neuroscience,2023,Journal
Multidisciplinary,2022,Conference Proceeding
Business and International Management,2022,Journal
Accounting,2022,Journal
"Public Health, Environmental and Occupational Health",2023,Journal
Catalysis,2022,Journal
Molecular Biology,2022,Journal
Spectroscopy,2022,Journal
Computer Science Applications,2022,Journal
Physical and Theoretical Chemistry,2022,Journal
Organic Chemistry,2022,Journal
Inorganic Chemistry,2022,Journal
Ecological Modeling,2020,Journal
Pollution,2020,Journal
"Health, Toxicology and Mutagenesis",2020,Journal
Multidisciplinary,2022,Journal
Chemistry (all),2021,Journal
Polymers and Plastics,2021,Journal
Multidisciplinary,2022,Journal
Microbiology,2021,Journal
Microbiology (medical),2021,Journal
Pharmacology,2020,Journal
Pharmacology (medical),2020,Journal
Pollution,2022,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
"Health, Toxicology and Mutagenesis",2022,Journal
Toxicology,2022,Journal
"Health, Toxicology and Mutagenesis",2022,Journal
Computer Science (miscellaneous),2022,Journal
"Geography, Planning and Development",2022,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Building and Construction,2022,Journal
Environmental Science (miscellaneous),2022,Journal
Energy Engineering and Power Technology,2022,Journal
Hardware and Architecture,2022,Journal
Computer Networks and Communications,2022,Journal
"Management, Monitoring, Policy and Law",2022,Journal
Computer Science (miscellaneous),2022,Journal
"Geography, Planning and Development",2022,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Building and Construction,2022,Journal
Environmental Science (miscellaneous),2022,Journal
Energy Engineering and Power Technology,2022,Journal
Hardware and Architecture,2022,Journal
Computer Networks and Communications,2022,Journal
"Management, Monitoring, Policy and Law",2022,Journal
Social Psychology,2021,Journal
Applied Psychology,2021,Journal
Microbiology,2020,Journal
"Ecology, Evolution, Behavior and Systematics",2020,Journal
Molecular Biology,2020,Journal
Genetics,2020,Journal
Microbiology (medical),2020,Journal
Infectious Diseases,2020,Journal
Analytical Chemistry,2022,Journal
Chemistry (miscellaneous),2022,Journal
Molecular Medicine,2022,Journal
Pharmaceutical Science,2022,Journal
Drug Discovery,2022,Journal
Physical and Theoretical Chemistry,2022,Journal
Organic Chemistry,2022,Journal
Pollution,2021,Journal
"Public Health, Environmental and Occupational Health",2021,Journal
"Health, Toxicology and Mutagenesis",2021,Journal
Biomedical Engineering,2023,Journal
Materials Science (all),2023,Journal
Engineering (miscellaneous),2023,Journal
Industrial and Manufacturing Engineering,2023,Journal
Neurology,2020,Journal
Geriatrics and Gerontology,2020,Journal
Neurology (clinical),2020,Journal
Pharmacology,2019,Journal
Pharmacology (medical),2019,Journal
Infectious Diseases,2019,Journal
Environmental Chemistry,2023,Journal
Pollution,2023,Journal
"Health, Toxicology and Mutagenesis",2023,Journal
Food Science,2023,Journal
Nutrition and Dietetics,2023,Journal
Astronomy and Astrophysics,2018,Journal
Space and Planetary Science,2018,Journal
"Endocrinology, Diabetes and Metabolism",2023,Journal
Nutrition and Dietetics,2023,Journal
Environmental Engineering,2021,Journal
Waste Management and Disposal,2021,Journal
"Management, Monitoring, Policy and Law",2021,Journal
Multidisciplinary,2021,Journal
Chemistry (all),2021,Journal
Environmental Chemistry,2021,Journal
Dentistry (all),2020,Journal
Neurology,2019,Journal
Cellular and Molecular Neuroscience,2019,Journal
Medicine (all),2020,Journal
Immunology,2023,Journal
Pharmacology,2023,Journal
Drug Discovery,2023,Journal
Infectious Diseases,2023,Journal
Pharmacology (medical),2023,Journal
Biomaterials,2022,Journal
Biomedical Engineering,2022,Journal
Environmental Chemistry,2021,Journal
Pollution,2021,Journal
Molecular Medicine,2022,Journal
Immunology and Microbiology (all),2022,Journal
Veterinary (all),2022,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
Infectious Diseases,2022,Journal
Biochemistry,2021,Journal
Physiology,2021,Journal
Molecular Biology,2021,Journal
Clinical Biochemistry,2021,Journal
Cell Biology,2021,Journal
Otorhinolaryngology,2022,Journal
Surgery,2022,Journal
"Ecology, Evolution, Behavior and Systematics",2021,Journal
Plant Science,2021,Journal
Microbiology (medical),2021,Journal
Medicine (miscellaneous),2023,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2023,Journal
Multidisciplinary,2022,Journal
Chemical Engineering (all),2022,Journal
Fuel Technology,2022,Journal
Energy Engineering and Power Technology,2022,Journal
Radiological and Ultrasound Technology,2020,Journal
Reproductive Medicine,2020,Journal
"Radiology, Nuclear Medicine and Imaging",2020,Journal
Obstetrics and Gynecology,2020,Journal
Chemistry (all),2021,Journal
Polymers and Plastics,2021,Journal
Food Science,2022,Journal
Nutrition and Dietetics,2022,Journal
"Ecology, Evolution, Behavior and Systematics",2019,Journal
Animal Science and Zoology,2019,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Materials Science (all),2022,Journal
Electrical and Electronic Engineering,2022,Journal
Immunology and Allergy,2023,Journal
Immunology,2023,Journal
Pharmacology,2023,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2020,Journal
Agricultural and Biological Sciences (all),2020,Journal
Multidisciplinary,2020,Journal
Drug Discovery,2020,Journal
Psychiatry and Mental Health,2020,Journal
Biological Psychiatry,2020,Journal
Multidisciplinary,2022,Conference Proceeding
Polymers and Plastics,2021,Journal
Organic Chemistry,2021,Journal
Materials Chemistry,2021,Journal
Oncology,2020,Journal
Clinical Biochemistry,2020,Journal
Multidisciplinary,2021,Journal
Chemistry (all),2021,Journal
"Surfaces, Coatings and Films",2021,Journal
Polymers and Plastics,2021,Journal
Materials Chemistry,2021,Journal
Waste Management and Disposal,2021,Journal
Mechanics of Materials,2023,Journal
Mechanical Engineering,2023,Journal
Immunology and Allergy,2022,Journal
Immunology,2022,Journal
Strategy and Management,2020,Journal
Marketing,2020,Journal
Analytical Chemistry,2022,Journal
Biotechnology,2022,Journal
Biomedical Engineering,2022,Journal
Instrumentation,2022,Journal
Engineering (miscellaneous),2022,Journal
Clinical Biochemistry,2022,Journal
Materials Science (all),2022,Journal
Instrumentation,2022,Journal
Engineering (all),2022,Journal
Process Chemistry and Technology,2022,Journal
Computer Science Applications,2022,Journal
Fluid Flow and Transfer Processes,2022,Journal
Multidisciplinary,2021,Journal
Business and International Management,2022,Journal
"Geography, Planning and Development",2022,Journal
Strategy and Management,2022,Journal
"Management, Monitoring, Policy and Law",2022,Journal
Civil and Structural Engineering,2023,Journal
Water Science and Technology,2023,Journal
Ocean Engineering,2023,Journal
Materials Science (all),2021,Journal
Instrumentation,2021,Journal
Engineering (all),2021,Journal
Process Chemistry and Technology,2021,Journal
Computer Science Applications,2021,Journal
Fluid Flow and Transfer Processes,2021,Journal
Clinical Psychology,2021,Journal
Psychiatry and Mental Health,2021,Journal
Medicine (all),2021,Journal
Chemical Engineering (all),2023,Journal
Fuel Technology,2023,Journal
Energy Engineering and Power Technology,2023,Journal
Inorganic Chemistry,2018,Journal
"Ecology, Evolution, Behavior and Systematics",2021,Journal
Ecology,2021,Journal
Nature and Landscape Conservation,2021,Journal
Chemistry (all),2022,Journal
Chemical Engineering (all),2022,Journal
Materials Chemistry,2022,Journal
Astronomy and Astrophysics,2022,Journal
Medicine (miscellaneous),2018,Journal
Molecular Medicine,2018,Journal
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",2018,Journal
Cell Biology,2018,Journal
Biotechnology,2023,Journal
Bioengineering,2023,Journal
Biomaterials,2023,Journal
Polymers and Plastics,2023,Journal
Materials Chemistry,2023,Journal
Chemical Engineering (miscellaneous),2023,Journal
"Renewable Energy, Sustainability and the Environment",2023,Journal
Materials Science (miscellaneous),2023,Journal
Fuel Technology,2023,Journal
Pollution,2020,Journal
"Public Health, Environmental and Occupational Health",2020,Journal
"Health, Toxicology and Mutagenesis",2020,Journal
Environmental Engineering,2020,Journal
Biomedical Engineering,2020,Journal
Molecular Biology,2020,Journal
Cell Biology,2020,Journal
Surfaces and Interfaces,2021,Journal
Physical and Theoretical Chemistry,2021,Journal
Colloid and Surface Chemistry,2021,Journal
Geotechnical Engineering and Engineering Geology,2023,Journal
Safety Research,2023,Journal
Geology,2023,Journal
Animal Science and Zoology,2022,Journal
Veterinary (all),2022,Journal
Physiology,2023,Journal
Plant Science,2023,Journal
Cell Biology,2023,Journal
Finance,2021,Journal
Education,2023,Journal
"Business, Management and Accounting (all)",2023,Journal
Social Sciences (miscellaneous),2023,Journal
"Economics, Econometrics and Finance (all)",2023,Journal
Literature and Literary Theory,2023,Journal
Chemistry (all),2022,Journal
Chemical Engineering (all),2022,Journal
Pharmacology,2020,Journal
Multidisciplinary,2021,Journal
Pharmacology,2022,Journal
Pharmaceutical Science,2022,Journal
Multidisciplinary,2022,Conference Proceeding
Plant Science,2021,Journal
Computer Science (all),2023,Journal
Chemical Engineering (all),2023,Journal
Geotechnical Engineering and Engineering Geology,2023,Journal
Engineering (all),2023,Journal
Space and Planetary Science,2023,Journal
Chemistry (all),2019,Journal
Chemical Engineering (all),2019,Journal
Genetics,2023,Journal
Astronomy and Astrophysics,2022,Journal
Space and Planetary Science,2022,Journal
Cardiology and Cardiovascular Medicine,2019,Journal
Neuroscience (all),2022,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2022,Journal
"Pharmacology, Toxicology and Pharmaceutics (all)",2022,Journal
Earth and Planetary Sciences (all),2022,Book
Environmental Science (all),2022,Book
Chemical Engineering (all),2023,Journal
Electrochemistry,2023,Journal
"Public Health, Environmental and Occupational Health",2021,Journal
Infectious Diseases,2021,Journal
Medicine (all),2021,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Pathology and Forensic Medicine,2021,Journal
"Endocrinology, Diabetes and Metabolism",2021,Journal
Endocrinology,2021,Journal
Neuroscience (miscellaneous),2022,Journal
Cellular and Molecular Neuroscience,2022,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
Psychiatry and Mental Health,2022,Journal
Infectious Diseases,2022,Journal
Biotechnology,2023,Journal
Bioengineering,2023,Journal
Histology,2023,Journal
Biomedical Engineering,2023,Journal
Analytical Chemistry,2023,Journal
Environmental Chemistry,2023,Journal
"Geography, Planning and Development",2019,Journal
"Renewable Energy, Sustainability and the Environment",2019,Journal
Environmental Science (miscellaneous),2019,Journal
Energy Engineering and Power Technology,2019,Journal
"Management, Monitoring, Policy and Law",2019,Journal
Molecular Medicine,2023,Journal
Pharmaceutical Science,2023,Journal
Drug Discovery,2023,Journal
Engineering (all),2020,Journal
Civil and Structural Engineering,2023,Journal
Mathematics (all),2023,Journal
Materials Science (all),2023,Journal
Mechanics of Materials,2023,Journal
Mechanical Engineering,2023,Journal
Analytical Chemistry,2023,Journal
Chemistry (miscellaneous),2023,Journal
Molecular Medicine,2023,Journal
Pharmaceutical Science,2023,Journal
Drug Discovery,2023,Journal
Physical and Theoretical Chemistry,2023,Journal
Organic Chemistry,2023,Journal
Environmental Science (all),2018,Book
Pharmacology,2020,Journal
Surgery,2022,Journal
Otorhinolaryngology,2022,Journal
Geotechnical Engineering and Engineering Geology,2022,Journal
Geology,2022,Journal
Immunology,2018,Journal
Developmental Biology,2018,Journal
Biochemistry,2020,Journal
Neurology (clinical),2020,Journal
Cellular and Molecular Neuroscience,2020,Journal
Aquatic Science,2021,Journal
Veterinary (miscellaneous),2021,Journal
Biochemistry,2020,Journal
Molecular Biology,2020,Journal
"Pediatrics, Perinatology and Child Health",2023,Journal
Developmental and Educational Psychology,2023,Journal
"Endocrinology, Diabetes and Metabolism",2020,Journal
Biochemistry,2020,Journal
Clinical Biochemistry,2020,Journal
Inorganic Chemistry,2020,Journal
Biochemistry (medical),2020,Journal
Multidisciplinary,2021,Journal
Catalysis,2022,Journal
Chemistry (all),2022,Journal
Multidisciplinary,2021,Journal
Oncology,2020,Journal
Obstetrics and Gynecology,2020,Journal
Maternity and Midwifery,2020,Journal
Small Animals,2022,Journal
Food Animals,2022,Journal
Animal Science and Zoology,2022,Journal
Equine,2022,Journal
Genetics,2018,Journal
Genetics (clinical),2018,Journal
Biotechnology,2023,Journal
Food Science,2023,Journal
Biomedical Engineering,2023,Journal
"Renewable Energy, Sustainability and the Environment",2023,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
Infectious Diseases,2022,Journal
Plant Science,2020,Journal
Polymers and Plastics,2023,Journal
Multidisciplinary,2023,Journal
Neuroscience (all),2021,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2021,Journal
Agricultural and Biological Sciences (all),2021,Journal
Transportation,2023,Journal
Management of Technology and Innovation,2023,Journal
Psychology (all),2021,Journal
Behavioral Neuroscience,2018,Journal
Catalysis,2023,Journal
Physical and Theoretical Chemistry,2023,Journal
Organic Chemistry,2023,Journal
Inorganic Chemistry,2023,Journal
Environmental Engineering,2021,Journal
Environmental Chemistry,2021,Journal
Waste Management and Disposal,2021,Journal
Pollution,2021,Journal
Condensed Matter Physics,2021,Journal
Mechanics of Materials,2021,Journal
Polymers and Plastics,2021,Journal
Materials Chemistry,2021,Journal
Neuroscience (all),2020,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2020,Journal
Agricultural and Biological Sciences (all),2020,Journal
Catalysis,2023,Journal
Process Chemistry and Technology,2023,Journal
Physical and Theoretical Chemistry,2023,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2020,Journal
"Pharmacology, Toxicology and Pharmaceutics (all)",2020,Journal
Hepatology,2019,Journal
Food Science,2023,Journal
Nutrition and Dietetics,2023,Journal
Environmental Engineering,2023,Journal
Environmental Chemistry,2023,Journal
Chemistry (all),2023,Journal
Pollution,2023,Journal
"Public Health, Environmental and Occupational Health",2023,Journal
"Health, Toxicology and Mutagenesis",2023,Journal
"Tourism, Leisure and Hospitality Management",2023,Journal
Marketing,2023,Journal
Parasitology,2021,Journal
Microbiology,2021,Journal
Immunology,2021,Journal
Molecular Biology,2021,Journal
Genetics,2021,Journal
Virology,2021,Journal
"Geography, Planning and Development",2022,Journal
Biochemistry,2022,Journal
Aquatic Science,2022,Journal
Water Science and Technology,2022,Journal
Epidemiology,2023,Journal
Critical Care and Intensive Care Medicine,2023,Journal
Nephrology,2023,Journal
Transplantation,2023,Journal
Polymers and Plastics,2021,Journal
Materials Chemistry,2021,Journal
Cellular and Molecular Neuroscience,2019,Journal
Oncology,2022,Journal
Cancer Research,2022,Journal
Biochemistry,2019,Journal
Molecular Biology,2019,Journal
Cell Biology,2019,Journal
Gender Studies,2023,Journal
Social Psychology,2023,Journal
Reproductive Medicine,2023,Journal
Dermatology,2023,Journal
"Public Health, Environmental and Occupational Health",2023,Journal
Education,2023,Journal
Library and Information Sciences,2023,Journal
Modeling and Simulation,2021,Journal
Computer Science Applications,2021,Journal
Electrical and Electronic Engineering,2021,Journal
Molecular Biology,2022,Journal
Cellular and Molecular Neuroscience,2022,Journal
"Electronic, Optical and Magnetic Materials",2021,Journal
"Atomic and Molecular Physics, and Optics",2021,Journal
Condensed Matter Physics,2021,Journal
Spectroscopy,2021,Journal
Physical and Theoretical Chemistry,2021,Journal
Materials Chemistry,2021,Journal
Immunology and Microbiology (all),2022,Book
Agricultural and Biological Sciences (all),2022,Book
Pharmacology,2018,Journal
Virology,2018,Journal
Multidisciplinary,2020,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Analytical Chemistry,2022,Journal
Chemistry (miscellaneous),2022,Journal
Molecular Medicine,2022,Journal
Pharmaceutical Science,2022,Journal
Drug Discovery,2022,Journal
Physical and Theoretical Chemistry,2022,Journal
Organic Chemistry,2022,Journal
Biotechnology,2020,Journal
Applied Microbiology and Biotechnology,2020,Journal
"Renewable Energy, Sustainability and the Environment",2020,Journal
Energy (all),2020,Journal
"Management, Monitoring, Policy and Law",2020,Journal
"Renewable Energy, Sustainability and the Environment",2018,Journal
Fuel Technology,2018,Journal
Condensed Matter Physics,2018,Journal
Energy Engineering and Power Technology,2018,Journal
Biotechnology,2022,Journal
Catalysis,2022,Journal
"Electronic, Optical and Magnetic Materials",2022,Journal
Ceramics and Composites,2022,Journal
"Atomic and Molecular Physics, and Optics",2022,Journal
Mechanical Engineering,2022,Journal
Fluid Flow and Transfer Processes,2022,Journal
Electrical and Electronic Engineering,2022,Journal
Multidisciplinary,2021,Journal
Hematology,2020,Journal
Oncology,2020,Journal
Cancer Research,2020,Journal
Multidisciplinary,2023,Journal
Food Science,2021,Journal
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",2021,Journal
Plant Science,2021,Journal
Molecular Medicine,2019,Journal
Immunology and Microbiology (all),2019,Journal
Veterinary (all),2019,Journal
"Public Health, Environmental and Occupational Health",2019,Journal
Infectious Diseases,2019,Journal
Catalysis,2022,Journal
Molecular Biology,2022,Journal
Spectroscopy,2022,Journal
Computer Science Applications,2022,Journal
Physical and Theoretical Chemistry,2022,Journal
Organic Chemistry,2022,Journal
Inorganic Chemistry,2022,Journal
Engineering (all),2020,Journal
Chemistry (all),2019,Journal
Environmental Chemistry,2019,Journal
Chemical Engineering (all),2019,Journal
"Renewable Energy, Sustainability and the Environment",2019,Journal
Education,2018,Journal
Engineering (all),2018,Journal
Gastroenterology,2021,Journal
Agricultural and Biological Sciences (all),2022,Book
Immunology and Microbiology (all),2022,Journal
Veterinary (all),2022,Journal
Immunology,2019,Journal
Pharmacology,2019,Journal
Drug Discovery,2019,Journal
Infectious Diseases,2019,Journal
Pharmacology (medical),2019,Journal
Biochemistry,2019,Journal
Aging,2019,Journal
Cell Biology,2019,Journal
Immunology and Allergy,2022,Journal
Otorhinolaryngology,2022,Journal
Veterinary (all),2022,Journal
Critical Care and Intensive Care Medicine,2020,Journal
Immunology and Allergy,2021,Journal
Infectious Diseases,2021,Journal
"Ecology, Evolution, Behavior and Systematics",2022,Journal
Genetics,2022,Journal
Health Informatics,2022,Journal
Veterinary (all),2020,Journal
Multidisciplinary,2022,Conference Proceeding
Multidisciplinary,2018,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2023,Journal
Psychiatry and Mental Health,2022,Journal
Biological Psychiatry,2022,Journal
Biochemistry,2019,Journal
Molecular Biology,2019,Journal
Biochemistry,2020,Journal
Molecular Biology,2020,Journal
Genetics,2020,Journal
Cancer Research,2020,Journal
Immunology and Allergy,2018,Journal
Immunology,2018,Journal
Molecular Medicine,2018,Journal
Oncology,2018,Journal
Pharmacology,2018,Journal
Cancer Research,2018,Journal
Chemistry (all),2022,Journal
Polymers and Plastics,2022,Journal
Chemical Engineering (all),2022,Journal
Fuel Technology,2022,Journal
Energy Engineering and Power Technology,2022,Journal
Organic Chemistry,2022,Journal
Toxicology,2022,Journal
Pollution,2022,Journal
"Health, Toxicology and Mutagenesis",2022,Journal
Nursing (all),2023,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
Infectious Diseases,2022,Journal
Atmospheric Science,2020,Journal
Cognitive Neuroscience,2021,Journal
Behavioral Neuroscience,2021,Journal
Gastroenterology,2019,Journal
Multidisciplinary,2021,Journal
Nuclear Energy and Engineering,2023,Journal
Nephrology,2021,Journal
Multidisciplinary,2022,Journal
Astronomy and Astrophysics,2019,Journal
Space and Planetary Science,2019,Journal
"Electronic, Optical and Magnetic Materials",2020,Journal
Biomaterials,2020,Journal
"Surfaces, Coatings and Films",2020,Journal
Colloid and Surface Chemistry,2020,Journal
Aquatic Science,2020,Journal
Animal Science and Zoology,2020,Journal
Cardiology and Cardiovascular Medicine,2019,Journal
Physiology (medical),2019,Journal
Catalysis,2022,Journal
Molecular Biology,2022,Journal
Spectroscopy,2022,Journal
Computer Science Applications,2022,Journal
Physical and Theoretical Chemistry,2022,Journal
Organic Chemistry,2022,Journal
Inorganic Chemistry,2022,Journal
Cardiology and Cardiovascular Medicine,2021,Journal
Neuroscience (all),2022,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2022,Journal
Agricultural and Biological Sciences (all),2022,Journal
Structural Biology,2022,Journal
Molecular Biology,2022,Journal
Chemistry (all),2022,Journal
Polymers and Plastics,2022,Journal
Chemical Engineering (all),2019,Journal
Fuel Technology,2019,Journal
Energy Engineering and Power Technology,2019,Journal
Organic Chemistry,2019,Journal
Architecture,2023,Journal
Geotechnical Engineering and Engineering Geology,2023,Journal
Soil Science,2023,Journal
Geology,2023,Journal
Nephrology,2021,Journal
Water Science and Technology,2022,Journal
Earth and Planetary Sciences (miscellaneous),2022,Journal
Aquatic Science,2021,Journal
Veterinary (miscellaneous),2021,Journal
Chemical Engineering (all),2021,Journal
Materials Science (all),2021,Journal
Pharmacology,2018,Journal
Biological Psychiatry,2018,Journal
Oceanography,2021,Journal
"Ecology, Evolution, Behavior and Systematics",2021,Journal
Aquatic Science,2021,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2020,Journal
Agricultural and Biological Sciences (all),2020,Journal
Multidisciplinary,2020,Journal
Neuroscience (all),2023,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2023,Journal
Agricultural and Biological Sciences (all),2023,Journal
Pollution,2022,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
"Health, Toxicology and Mutagenesis",2022,Journal
Astronomy and Astrophysics,2018,Journal
Space and Planetary Science,2018,Journal
Animal Science and Zoology,2023,Journal
Veterinary (all),2023,Journal
Bioengineering,2022,Journal
Biomaterials,2022,Journal
Organic Chemistry,2022,Journal
Polymers and Plastics,2022,Journal
Food Science,2022,Journal
Nutrition and Dietetics,2022,Journal
Psychiatric Mental Health,2021,Journal
Gerontology,2021,Journal
Geriatrics and Gerontology,2021,Journal
Psychiatry and Mental Health,2021,Journal
Atmospheric Science,2021,Journal
Animal Science and Zoology,2022,Journal
Molecular Biology,2022,Journal
Plant Science,2022,Journal
Organic Chemistry,2020,Journal
Polymers and Plastics,2020,Journal
Materials Chemistry,2020,Journal
"Business, Management and Accounting (all)",2023,Journal
Strategy and Management,2023,Journal
Management of Technology and Innovation,2023,Journal
Computer Science (miscellaneous),2022,Journal
"Geography, Planning and Development",2022,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Building and Construction,2022,Journal
Environmental Science (miscellaneous),2022,Journal
Energy Engineering and Power Technology,2022,Journal
Hardware and Architecture,2022,Journal
Computer Networks and Communications,2022,Journal
"Management, Monitoring, Policy and Law",2022,Journal
Multidisciplinary,2023,Journal
Environmental Engineering,2021,Journal
Environmental Chemistry,2021,Journal
Waste Management and Disposal,2021,Journal
Pollution,2021,Journal
Neurology,2018,Journal
Cellular and Molecular Neuroscience,2018,Journal
Multidisciplinary,2023,Journal
Astronomy and Astrophysics,2020,Journal
Space and Planetary Science,2020,Journal
"Radiology, Nuclear Medicine and Imaging",2023,Journal
Gastroenterology,2023,Journal
Environmental Engineering,2021,Journal
Environmental Chemistry,2021,Journal
Waste Management and Disposal,2021,Journal
Pollution,2021,Journal
Modeling and Simulation,2019,Journal
Social Sciences (miscellaneous),2019,Journal
Human-Computer Interaction,2019,Journal
Biotechnology,2022,Journal
Environmental Science (miscellaneous),2022,Journal
Agricultural and Biological Sciences (miscellaneous),2022,Journal
"Renewable Energy, Sustainability and the Environment",2020,Journal
Environmental Science (all),2020,Journal
Strategy and Management,2020,Journal
Industrial and Manufacturing Engineering,2020,Journal
Catalysis,2021,Journal
Process Chemistry and Technology,2021,Journal
Bioengineering,2023,Journal
Biochemistry,2023,Journal
Chemistry (all),2023,Journal
Molecular Medicine,2023,Journal
Molecular Biology,2023,Journal
Environmental Science (all),2019,Journal
Food Science,2022,Journal
Microbiology,2022,Journal
Health (social science),2022,Journal
Health Professions (miscellaneous),2022,Journal
Plant Science,2022,Journal
Analytical Chemistry,2023,Journal
Spectroscopy,2023,Journal
Organic Chemistry,2023,Journal
Inorganic Chemistry,2023,Journal
Chemical Engineering (all),2020,Journal
Fuel Technology,2020,Journal
Energy Engineering and Power Technology,2020,Journal
Organic Chemistry,2020,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Fuel Technology,2022,Journal
Energy Engineering and Power Technology,2022,Journal
Economics and Econometrics,2022,Journal
Aging,2021,Journal
Geriatrics and Gerontology,2021,Journal
Organic Chemistry,2020,Journal
Materials Science (all),2022,Journal
Chemical Engineering (miscellaneous),2020,Journal
Energy Engineering and Power Technology,2020,Journal
Electrochemistry,2020,Journal
Materials Chemistry,2020,Journal
Electrical and Electronic Engineering,2020,Journal
Agricultural and Biological Sciences (all),2022,Journal
Language and Linguistics,2023,Journal
Experimental and Cognitive Psychology,2023,Journal
Linguistics and Language,2023,Journal
Cognitive Neuroscience,2023,Journal
Civil and Structural Engineering,2021,Journal
Immunology and Allergy,2018,Journal
Immunology,2018,Journal
Infectious Diseases,2018,Journal
Medicine (all),2019,Journal
"Ecology, Evolution, Behavior and Systematics",2022,Journal
Molecular Biology,2022,Journal
Genetics,2022,Journal
Genetics (clinical),2022,Journal
Cancer Research,2022,Journal
Multidisciplinary,2023,Journal
"Endocrinology, Diabetes and Metabolism",2023,Journal
Molecular Biology,2023,Journal
Clinical Biochemistry,2023,Journal
Cell Biology,2023,Journal
Biochemistry (medical),2023,Journal
Pharmacology (medical),2023,Journal
Biotechnology,2023,Journal
Physiology,2023,Journal
Applied Microbiology and Biotechnology,2023,Journal
Neurology,2021,Journal
Neurology (clinical),2021,Journal
Chemistry (all),2018,Journal
Chemical Engineering (all),2018,Journal
Surfaces and Interfaces,2018,Journal
Environmental Engineering,2018,Journal
Civil and Structural Engineering,2018,Journal
Ecological Modeling,2018,Journal
Water Science and Technology,2018,Journal
Waste Management and Disposal,2018,Journal
Pollution,2018,Journal
Toxicology,2023,Journal
Pollution,2023,Journal
"Health, Toxicology and Mutagenesis",2023,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Fuel Technology,2022,Journal
Condensed Matter Physics,2022,Journal
Energy Engineering and Power Technology,2022,Journal
Biochemistry,2023,Journal
Immunology,2023,Journal
Hematology,2023,Journal
Cell Biology,2023,Journal
Analytical Chemistry,2022,Journal
Spectroscopy,2022,Journal
Chemical Engineering (miscellaneous),2022,Journal
Waste Management and Disposal,2022,Journal
Pollution,2022,Journal
Process Chemistry and Technology,2022,Journal
Process Chemistry and Technology,2021,Journal
Polymers and Plastics,2021,Journal
Organic Chemistry,2021,Journal
Biotechnology,2023,Journal
"Safety, Risk, Reliability and Quality",2023,Journal
Waste Management and Disposal,2023,Journal
Process Chemistry and Technology,2023,Journal
Molecular Biology,2023,Journal
Cellular and Molecular Neuroscience,2023,Journal
Psychiatry and Mental Health,2023,Journal
Psychiatry and Mental Health,2022,Journal
Structural Biology,2023,Journal
Biochemistry,2023,Journal
Molecular Biology,2023,Journal
Infectious Diseases,2023,Journal
Pharmacology (medical),2023,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2022,Book
Molecular Medicine,2022,Journal
Pharmacology,2022,Journal
Cancer Research,2022,Journal
Organic Chemistry,2021,Journal
Medicine (all),2022,Book
Hematology,2020,Journal
Oncology,2020,Journal
